game,cause
515,field_user_creatures
516,forced_CAST_not_playable
517,field_user_hand
518,forced_SWAP_not_in_library_missing
519,field_oppo_hand
520,ability_logged
521,hidden_choice
522,field_oppo_life
523,hidden_choice
524,ability_logged
525,forced_LAND_not_in_hand
526,forced_CAST_not_playable
527,ability_logged
528,ability_logged
529,ability_logged
530,ability_logged
531,ability_logged
532,forced_SWAP_not_in_library_graveyard
533,field_user_life
534,field_oppo_life
535,forced_ATTACK_no_attacker_tapped
536,ability_logged
537,forced_LAND_not_in_hand
538,hidden_choice
539,hidden_choice
540,field_oppo_hand
542,ability_logged
543,field_oppo_life
544,forced_SWAP_no_spare_hand_grew
545,forced_CAST_not_in_hand
546,forced_LAND_not_in_hand
547,ability_logged
548,forced_DRAW_not_in_library_graveyard
549,field_user_creatures
550,field_user_life
551,forced_DRAW_not_in_library_graveyard
552,forced_SWAP_not_in_library_graveyard
553,forced_CAST_not_in_hand
554,forced_BLOCK_no_blocker
555,ability_logged
556,forced_CAST_not_playable
557,field_user_life
558,hidden_choice
559,ability_logged
560,forced_BLOCK_no_blocker
561,ability_logged
562,forced_CAST_activate_failed
563,field_user_creatures
564,field_user_creatures
565,field_user_life
566,ability_logged
567,forced_SWAP_not_in_library_graveyard
568,ability_logged
569,ability_logged
570,forced_LAND_not_in_hand
571,hidden_choice
572,field_oppo_life
573,ability_logged
574,forced_CAST_activate_failed
575,ability_logged
576,forced_CAST_not_in_hand
577,forced_CAST_activate_failed
578,forced_LAND_not_in_hand
579,ability_logged
580,forced_DRAW_not_in_library_graveyard
581,field_oppo_life
582,forced_CAST_activate_failed
583,ability_logged
584,field_oppo_hand
585,hidden_choice
586,ability_logged
587,ability_logged
588,hidden_choice
589,forced_SWAP_no_spare_hand_grew
590,forced_DRAW_not_in_library_graveyard
591,forced_SWAP_not_in_library_graveyard
592,forced_BLOCK_no_blocker
593,ability_logged
594,hidden_choice
595,ability_logged
596,field_user_creatures
597,forced_LAND_not_in_hand
598,forced_DRAW_not_in_library_graveyard
599,forced_CAST_not_playable
600,hidden_choice
601,forced_CAST_activate_failed
602,forced_BLOCK_no_blocker
603,hidden_choice
604,field_user_life
605,field_user_creatures
606,forced_CAST_not_playable
607,ability_logged
608,field_oppo_life
609,hidden_choice
610,forced_CAST_not_playable
611,hidden_choice
612,forced_LAND_not_in_hand
613,field_oppo_life
614,ability_logged
615,hidden_choice
616,hidden_choice
617,field_oppo_life
618,ability_logged
619,ability_logged
620,field_user_creatures
621,hidden_choice
622,ability_logged
