game,user_deck_covered,opp_logged_covered,both_covered,deck_distinct,deck_cards,user_missing,opp_missing
525,1,1,1,17,40,,
526,1,1,1,19,40,,
527,1,1,1,25,40,,
528,1,1,1,24,40,,
529,1,1,1,22,40,,
530,1,1,1,25,40,,
531,1,1,1,21,40,,
532,1,1,1,23,40,,
533,1,1,1,22,40,,
534,1,1,1,25,40,,
535,1,1,1,25,40,,
536,1,1,1,19,40,,
537,1,1,1,18,40,,
538,1,1,1,24,40,,
539,1,1,1,23,40,,
540,1,1,1,27,40,,
541,1,1,1,26,40,,
542,1,1,1,23,40,,
543,1,1,1,27,40,,
544,1,1,1,22,40,,
545,1,1,1,18,40,,
546,1,1,1,24,40,,
547,1,1,1,21,40,,
548,1,1,1,25,40,,
549,1,1,1,24,40,,
550,1,1,1,25,40,,
551,1,1,1,24,40,,
552,1,1,1,19,40,,
553,1,1,1,23,40,,
554,1,1,1,18,40,,
555,1,1,1,24,40,,
556,1,1,1,20,40,,
557,1,1,1,20,40,,
558,1,1,1,17,40,,
559,1,1,1,19,40,,
560,1,1,1,23,40,,
561,1,1,1,24,40,,
562,1,1,1,28,40,,
563,1,1,1,21,40,,
564,1,1,1,25,40,,
565,1,1,1,21,40,,
566,1,1,1,23,40,,
567,1,1,1,28,40,,
568,1,1,1,23,40,,
569,1,1,1,22,40,,
570,1,1,1,24,40,,
571,1,1,1,25,40,,
572,1,1,1,20,40,,
573,1,1,1,21,40,,
574,1,1,1,23,40,,
575,1,1,1,23,40,,
576,1,1,1,20,40,,
577,1,1,1,25,40,,
578,1,1,1,19,40,,
579,1,1,1,19,40,,
580,1,1,1,21,40,,
581,1,1,1,21,40,,
582,1,1,1,20,40,,
583,1,1,1,19,40,,
584,1,1,1,24,40,,
585,1,1,1,20,40,,
586,1,1,1,21,40,,
587,1,1,1,23,40,,
588,1,1,1,24,40,,
589,1,1,1,22,40,,
590,1,1,1,26,40,,
591,1,1,1,21,40,,
592,1,1,1,26,40,,
593,1,1,1,21,40,,
594,1,1,1,21,40,,
595,1,1,1,30,40,,
596,1,1,1,20,40,,
597,1,1,1,26,40,,
598,1,1,1,28,40,,
599,1,1,1,19,40,,
600,1,1,1,25,40,,
601,1,1,1,24,40,,
602,1,1,1,20,40,,
603,1,1,1,23,40,,
604,1,1,1,29,41,,
605,1,1,1,23,40,,
606,1,1,1,21,40,,
607,1,1,1,28,40,,
608,1,1,1,22,41,,
609,1,1,1,25,40,,
610,1,1,1,29,40,,
611,1,1,1,18,40,,
612,1,1,1,18,40,,
613,1,1,1,23,40,,
614,1,1,1,22,40,,
615,1,1,1,26,40,,
616,1,1,1,26,40,,
617,1,1,1,21,40,,
618,1,1,1,27,40,,
619,1,1,1,25,40,,
620,1,1,1,26,40,,
621,1,1,1,26,40,,
622,1,1,1,22,40,,
623,1,1,1,22,40,,
624,1,1,1,20,40,,
625,1,1,1,23,40,,
626,1,1,1,20,40,,
627,1,1,1,19,40,,
628,1,1,1,23,40,,
629,1,1,1,17,40,,
630,1,1,1,26,40,,
631,1,1,1,24,40,,
632,1,1,1,21,40,,
633,1,1,1,24,40,,
634,1,1,1,24,40,,
635,1,1,1,25,40,,
636,1,1,1,23,40,,
637,1,1,1,23,40,,
638,1,1,1,24,40,,
639,1,1,1,25,41,,
640,1,1,1,25,40,,
641,1,1,1,20,40,,
642,1,1,1,20,40,,
643,1,1,1,22,40,,
644,1,1,1,22,40,,
645,1,1,1,23,40,,
646,1,1,1,20,40,,
647,1,1,1,20,40,,
648,1,1,1,21,40,,
649,1,1,1,19,40,,
650,1,1,1,22,40,,
651,1,1,1,20,40,,
652,1,1,1,25,40,,
653,1,1,1,25,40,,
654,1,1,1,22,40,,
655,1,1,1,22,40,,
656,1,1,1,27,40,,
657,1,1,1,21,40,,
658,1,1,1,15,40,,
659,1,1,1,28,40,,
660,1,1,1,20,40,,
661,1,1,1,23,40,,
662,1,1,1,24,40,,
663,1,1,1,22,40,,
664,1,1,1,20,40,,
665,1,1,1,18,40,,
666,1,1,1,19,40,,
667,1,1,1,20,40,,
668,1,1,1,24,40,,
669,1,1,1,18,40,,
670,1,1,1,28,40,,
671,1,1,1,20,40,,
672,1,1,1,21,40,,
673,1,1,1,24,40,,
674,1,1,1,25,40,,
675,1,1,1,21,40,,
676,1,1,1,20,40,,
677,1,1,1,22,40,,
678,1,1,1,27,40,,
679,1,1,1,19,40,,
680,1,1,1,23,40,,
681,1,1,1,30,40,,
682,1,1,1,24,40,,
683,1,1,1,20,40,,
684,1,1,1,21,40,,
685,1,1,1,26,40,,
686,1,1,1,22,40,,
687,1,1,1,28,40,,
688,1,1,1,24,41,,
689,1,1,1,24,40,,
690,1,1,1,20,40,,
691,1,1,1,24,40,,
692,1,1,1,18,40,,
693,1,1,1,20,40,,
694,1,1,1,24,40,,
695,1,1,1,19,40,,
696,1,1,1,26,40,,
697,1,1,1,23,40,,
698,1,1,1,23,40,,
699,1,1,1,28,40,,
700,1,1,1,24,40,,
701,1,1,1,24,40,,
702,1,1,1,25,40,,
703,1,1,1,19,40,,
704,1,1,1,20,40,,
705,1,1,1,26,40,,
706,1,1,1,20,40,,
707,1,1,1,22,40,,
708,1,1,1,22,40,,
709,1,1,1,20,40,,
710,1,1,1,22,40,,
711,1,1,1,19,40,,
712,1,1,1,28,40,,
713,1,1,1,21,40,,
714,1,1,1,20,40,,
715,1,1,1,24,40,,
716,1,1,1,28,40,,
717,1,1,1,24,40,,
718,1,1,1,23,40,,
719,1,1,1,20,40,,
